title,subtitle,descr,created_at
Burning Man 2013,Why are burning man tickets so expensive?,"<p>&nbsp;</p>
<p>Sooo, they sold out again. On the first day, it seems. There will be plenty of tickets available on Craigslist in August, but it still upsets me that it is such a gamble to get the tickets.</p>
<p>Going to the Burning Man has always been difficult. On the other hand - it is quite, quite an experience. A singularity for the individual, so to speak ;-)</p>",2013-03-05 05:56:54 UTC
Health Considerations While Traveling,a heads up to prospective travelers,"<p>&nbsp;</p>
<p>When you start traveling you put your body in stress, whether you can physically feel it or not. And it does not really matter where you are traveling to, 1st world (Europe to America) or 3rd world (America to America). The fact that you are switching to a new, unpredictable diet and switching away from the normal routine will stress your body quite some ways. It is not bad, it certainly does not mean that you will get sick, however it is something to keep in mind when traveling.<br /><br />I met a girl in San Francisco and she was complaining how ever since she left Switzerland she has to put a lot of eye drops in her eyes, and cannot use her contacts. Something about the air here in San Francisco that makes her eyes very irritated. She is not sick, but she is certainly inconvenienced, and I think her immune system is working hard to keep her okay.<br /><br />Another friend of mine, when we were in Rio, after about a month he complained that his joints are all sore, that he sometimes fall asleep because of the pain. He sleeps with a pillow between his knees, and his joints are sore almost all the time. For no particular reason. It went away when he came back to Vancouver.<br /><br />Myself, I had a few minor things as well while traveling. In Sao Paulo I had my first experience with Conjuntivite, and in Natal, with atheletes foot. Both cured without complications.<br /><br />Overall, it should be noted by prospective travelers that, even if you are completely healthy and adhere to a good diet and exercise, when you travel you put a lot of stress on your body, and it is quite quite common to experience small health issues and inconveniences. Be ready for it if it does happen. Don't forget to eat and sleep when you travel! Drink plenty of liquids, and be careful with your body when you travel, and in general.<br /><br />\V</p>",2013-03-04 09:17:45 UTC
Welcome to Chicago,"Chicago is a huge vibrant city and sprawling metropolitian area. It is the home of the blues and the truth of jazz, the heart of comedy and the first builder of the skyscraper. Here, the age of railroads found its center, and airplanes followed suit. Butcher of hogs and believer in progress, it is one of the world's great cities, and yet the metropolitan luxuries of theater, shopping, and fine dining have barely put a dent in real Midwestern friendliness. It's a city with a swagger, but without the surliness or even the fake smiles that can be found in other cities. ","<p>&nbsp;</p>
<p><br /><br />As the hub of the Midwest, Chicago is easy to find &mdash;its picturesque skyline calls across the waters of huge Lake Michigan, a first impression that soon reveals world-class museums of art and science, miles of sandy beaches, huge parks and public art, and perhaps the finest downtown collection of architecture in the world.<br /><br />With a wealth of iconic sights and neighborhoods to explore, there's enough to fill a visit of weeks or even months without ever seeing the end. Prepare to cover a lot of ground: the meaning of Chicago is only found in movement, through its subways and archaic elevated tracks, in the pride of tired feet and eyes raised once more to the sky. <br /><br />Many visitors never make it past the attractions in Chicago's large downtown area, but there are also many attractions to be found in the city's other districts. The city consists of three large Sides (the North Side, the South Side, and the West Side) each named according to its direction from the central business district, or the Loop as it is called. Citizens tend to identify strongly with their neighborhood within the city, reflecting real differences in culture and place. Rivalries between the North and South Sides sometimes run deep, while people from the West Side are usually free agents in critical issues like baseball loyalty. <br /><br />Chicago was known as a fine place to find a wild onion if you were a member of the Potawatomi tribe, who lived in this area of Illinois before European settlers arrived. It was mostly swamps, prairie and mud long past the establishment of Fort Dearborn in 1803 and incorporation as a town in 1833. It could be argued that nature never intended for there to be a city here; brutal winters aside, it took civil engineering projects of unprecedented scale to establish working sewers, reverse the flow of the river to keep it out of the city's drinking supply, and stop buildings from sinking back into the swamps &mdash; and that was just the first few decades. <br /><br />As far as Chicago's weather goes, well let's just say that Chicago is a huge city so things tend to get much more analyzed here than they would in other locales, that includes the weather. No, Chicago doesn't have weather like Honolulu - then again, what other city does? The winters in Chicago are indeed cold, but then again, so is most of the United States from Maine to Utah, with the exception of the extreme southern U.S. In fact, Chicago receives less precipitation (snow and rain) in the winter than East Coast cities like New York City or Boston receive. Chicago's summers are not much hotter than the East Coast, and definitely not as hot as the southern U.S. where there is a nonstop heatwave throughout the summer. There is a good time to be had in any season in Chicago, and the summer offers an array of parades, festivals, and events. <br /><br />Navigating Chicago is easy. Block numbers are consistent across the whole city. Standard blocks, of 100 addresses each, are roughly 1/8th of a mile long. (Hence, a mile is equivalent to a street number difference of 800.) Each street is assigned a number based on its distance from the zero point of the address system, the intersection of State Street and Madison Street. A street with a W (west) or E (east) number runs east-west, while a street with a N (north) or S (south) number runs north-south. A street's number is usually written on street signs at intersections, below the street name. Major thoroughfares are at each mile (multiples of 800) and secondary arteries at the half-mile marks. Thus, Western Ave at 2400 W (3 miles west of State Street) is a north-south major thoroughfare, while Montrose Ave at 4400 N is an east-west secondary artery.<br /><br />In general, ""avenues"" run north-south and ""streets"" run east-west, but there are numerous exceptions. (e.g., 48th Street may then be followed by 48th Place). In conversation, however, Chicagoans rarely distinguish between streets, avenues, boulevards, etc.<br /><br />Several streets follow diagonal or meandering paths through the city such as Clark St, Broadway, Milwaukee Ave, Archer Ave, Vincennes Ave, and South Chicago Ave to name a few.</p>
<p>text borrowed from wikitravel.org</p>",2013-01-09 01:17:49 UTC
Welcome to San Francisco,"San Francisco is a major city in California, the centerpiece of the Bay Area, well-known for its liberal community, hilly terrain, Victorian architecture, scenic beauty, summer fog, and great ethnic and cultural diversity. These are only a few of the aspects of the city that make San Francisco one of the most visited cities in the world.","<p>&nbsp;</p>
<p>San Francisco is located on a small seven-by-seven mile (11x11km) square of land at the tip of a peninsula between the San Francisco Bay and the Pacific coast. It has a population of 815,000, but is the center of a metropolitan area of 7.1 million. San Francisco is just one of the cities which makes up the entire San Francisco Bay Area. San Francisco's neighbors - municipalities to the east of the Bay Bridge, north of the Golden Gate Bridge, and south of the city are all part of separate counties, each with their own governments and local public transportation.<br /><br />Walking can be an enticing option to get from one neighborhood to another, so long as you are aware of where you are and keep your street smarts. San Francisco is a city of friendly neighborhoods, but it is also a big city so be aware of your surroundings and keep in mind the dangers that commonly accompany a city of San Francisco's size.<br /><br />Perhaps the most recognizable landmark in San Francisco and one of the most famous bridges in the world, the Golden Gate Bridge, spanning the Golden Gate, has been called one of the Seven Wonders of the Modern World and is the first thing you see of San Francisco if driving in from the north, as it is one of the major road routes into and out of the city. Overlooking the Golden Gate is the Presidio, a former military post with beautiful architecture and a very scenic park setting. Within the Presidio is the gorgeous Palace of Fine Arts, built for the 1915 Panama-Pacific Exposition and reminiscent of Roman and Greek architecture.<br /><br />The best way to find a good bar or club is to ask the advice of a local; but barring that a copy of The SF Bay Guardian or the SF Weekly will help you find something suited to your personal taste.<br />San Francisco is very much of a ""scene"" town, with a varying range of categorical experiences. If you want door-to-door bar hopping at friendly bars that serve PBR tall boys, definitely go to ""Polk Gulch"" in the Tenderloin and work your way up through bars such as Mayes, The Playground, and Hemlock.<br /><br />Text borrowed from: wikitravel.org</p>
<p>&nbsp;</p>",2013-01-04 19:46:29 UTC
How often should one travel?,"After i cross the border, any border, after the daily routine falls off and my habbits reduce to none, after my information intake reduces to actually talking to people, instead of staring at one screen (two, five screens) the whole day - some time after i leave e States, i feel tremendous freedom. And the effort to leave is worth it.","<p>&nbsp;</p>
<div>A friend of mine said once, like you travel and after a while you start tripping out. You dont need no drugs or nothing but your whole being, it seelf like you are on a fucking mushroom trip. It is a great feeling. From myself i would also add: yess all that, and more. When tripping without drugs, you have complete control and complete certainty that what s happening around you is actually real. The best ""drug"" available out there is not a dubstance, but a behavioral pattern. The best drug out there is the jet lag. The travel.</div>
<div>&nbsp;</div>
<div>But eventually i come back and some days later, i feel this fear, like things are sinking back in the fog. The routine takes over, and you soon forget the joy uou felt, and similarly the effort you spent on getting out.</div>
<div>&nbsp;</div>
<div>So how often should you travel?</div>
<div>&nbsp;</div>
<div>I say, as often as you can. Getting out on a long weekend once a month is great. Travelig for a week once in 3 months is great. Basically the goal is to never sink back into the routine. Travel enough to always feel this ""trip"" that is the unusual behavioral pattern. And, you probably want to optimize the costs so, if living at home is the cheapest opion, you wantto travel just enough to be in the jet lag zone and not sink back into the routine. Ideally, you would think as your home as not home, you would think of anywhere you are as travel. So, how often shold you travel?</div>
<div>&nbsp;</div>
<div>I say, let's start with once every three month, ad see where that takes us ;-)</div>",2012-09-14 03:37:31 UTC
Hello Moscow!,"","<p>&nbsp;</p>
<p style=""text-align: justify;"">Hearing the word Moscow, what directly comes into mind is the Saint Basil's Cathedral. That beautiful cathedral where different colored arches on their roofs makes it a very famous tourist attractions.</p>
<p style=""text-align: justify;"">Moscow is the Russia's capital city and is considered to be the most populous. As expected from other capital cities. It holds much of the great architectures and structures as well as holds a nice city life where everybody - not only Russians could enjoy. Airports, terminals, cars, and other modes of transportation could be seen in Moscow. What makes this city accommodating is the people and citizens living in it. Moscow not only holds the great structures but it is also considered to be the home of one of the world's most expensive coffees.</p>
<p style=""text-align: justify;"">From rich history books to real-life experience, Moscow has a lot to offer. From cathedral structures to footpaths to foods to tourist attractions, Moscow is like a capsule. Keeping everything inside it as close to one another, so there is no way that you cannot see the beauty and wonders that this city has to offer. Moscow has attracted a lot of tourists each year and has amazed hundreds of thousands of them.&nbsp;</p>
<p style=""text-align: justify;"">Visit Moscow!&nbsp;</p>
<p style=""text-align: justify;"">(photo courtesy of: www.tripadvisor.com)</p>",2012-09-13 05:51:32 UTC
FTIM Portal :: Why Travel?,"","<p>&nbsp;</p>
<p>I thought I needed an excuse even, for traveling. Like, why do I go to this place or that? I don't know... And it is in fact exhausing, I see people get all sorts of mild deseases and fuckups when going to a completely different place. This one girl from Sweden, she says, she cannot wear contacts in America. Not that the client here is bad, it's just her body is not accustomed to it. Or this one guy from Canada, when he was in Brasil, he said, after 1 month he had like extreme joint pain, could not sleep because of the pain. Nothing wrong with his body, but traveling does get exhausting. So why bother?</p>
<p>Because! The best people! Are found in travel. And some of the best experiences. Surely it is inconvenient and expensive. But I can go to a hostel an in 5 days meet people who could be my best friends... if we were only in the same city for any length of time. That's how I am with all my best friends: they are all somewhere else, on other continents. Sometimes it makes me sad, but every time I experience this mode of travel, it makes me happy.</p>
<p>And it is not like the people are very different. Perhaps they are, but not by much. No it is the environment that makes them different. The mode of travel itself, makes them change their behavior. Tourists are nice. They are mesmerized by the beauty of things. I find internationals (tourists and students) my favorite kind of people. No prejudice, they accept most things as they are. Having experienced more than one culture, they are open-minded and see things that would evade a `local` eye. When I travel I trust people in a specific way (and mistrust some other people in another specific way). When I am settled, I do not have that clarity of judgement... and the people around me, those that are not immediately travelling, do not have the clarity of judgement either.</p>
<p>When traveling, you have to be quick. Sometimes you have only a day to make friends - although not I think that one day is really not enough, you need at least 3 days. But that is still very very little! A community that forms within 3 days is a strong community indeed. And there is so much happiness! When the behavior is light like that, it makes everybody happy. Settled life does not quite provide the happiness that I look forward to, when I travel.</p>
<p>So that's the reason. Exhausing, expensive, inconvenient? Sure. But the best people can be found there. The best people are <em>made</em> there. And after a while, it is just like pure happiness, the joy.</p>
<p>&nbsp;</p>",2012-09-13 00:29:00 UTC
An old shop on a new street,"","<p>&nbsp;</p>
<div>As I am walking down the Hollywood Blvd in Los Angeles I see a lot of interesting stores all around. It is kind of peculiar, actually: the Hollywood Blvd itself is packed with people, but you go one block south and there is noone there. So, I am walking down and I hear this guy half-say haf-sing, ""salvia, mushrooms..."" I turn to him and say, you have mushrooms for sale really? He says, yes come into the store. And so I do, and browse their stuff. They have mushroom for sure, but I decide not to buy any, just whatever. The other goods they have are, sunglasses, watches, souveniers. I don't buy anything. Just when I walked out, it occurred to me that the gift shop is old! The couple running it is old, and the stuff they have there is also old, maybe good value, maybe not, but it looks not modern.</div>
<div>&nbsp;</div>
<div>See, I woke up, walked out of the hostel, and the first thing I bought was sunglasses just across the street, and then I was like why not? And bought actually three pairs of sunglasses from that dealer. Yuip I lost one pair just yesterday, a girl came over and took them off my head, out it in hers and said, it is mine now. So I had to get another pair and if I lose/break them as the average rate of 1.5 per week, I may as well get more than one pair.</div>
<div>&nbsp;</div>
<div>And at that old shop I bought nothing. The store next to it probably has hundreds or thousands of dollars in sales every day, and there are maybe dosens of people in it at any time. But the old store, I was the only guy browsing the items, and when I left, nobody was there.</div>
<div>&nbsp;</div>
<div>Why am I saying all this? Because it occurred to me. Even if something has value, and you think you would lose value by losing that item - it may not be the case. I think the best thing that couple could do is get rid of their whole inventory and buy new, cheap, flashy, shitty stuff from scratch. Like the pairs of glasses that I bought (twice overpriced, as I found 1 hour later, but no matter). So, if you have a bunch of stuff that has some value - maybe, just throw it out. It weights down on you so, and without it you may regain the value relatively quickly, and what is more important, increase your capacity of gaining value, which is more important than the value itself. Do not be attached to old things. Just throw them out, or give them away to someone, and start from scratch, and feel happy, and be free. That is all ;-)</div>",2012-09-03 03:04:13 UTC
Experience with the Whalesharks,"","<p>&nbsp;</p>
<p style=""text-align: justify;"">When I had my summer vacation, I came to experience a personal encounter with these gentle giants. They came in threes, fours, and even more. It was just recently in that town, where the whalesharks came to visit and because of a discovery of one fisherman, that they can be fed, so the townspeople and other fishermen decided to give small shrimps to these giants. Maybe these whalesharks have an information chanelling among them, because they got many all of a sudden and they come to visit the place every now and then. And &nbsp;all of a sudden, because of the surprised visits of these giants, the town also became a tourist destination.&nbsp;</p>
<p style=""text-align: justify;"">Almost every month, people coming from the different parts of the Philippines and the world, flock to the town just to witness and have a personal encounter with these giants. Of course, these whalesharks have to be protected, so there are laws, rules and regulations on the whale shark watching in the town. Like you are not allowed to go very near to the whalesharks nor touch their skins. A watcher has to stay 5 meters away from the tail of these gentle giants and all other rules that protects it.</p>
<p style=""text-align: justify;"">When I had my first encounter with the gentle giants, I was afraid and scared that I might be eaten by the whalesharks. It seems like when they open their big mouths, with me this small, it seems like they're going to eat me up. Waaaa. But one thing is for sure, they do not harm humans not like the hammerhead sharks and the white sharks which when provoked, harm others.</p>",2012-08-20 03:41:56 UTC
Philippines,"","<p>&nbsp;</p>
<p style=""text-align: justify;"">I love to travel. I love visiting other places most especially going into historic and Spanish-old places. I love visiting museums and see the different artifacts that were collected during different eras and centuries. The Philippines, which was under the Spanish rule for more than 300 years have a rich source of historical stuffs. When you go visit the different provinces, the Philippines can offer you a lot of it. An archipelago, the different provinces of the Philippines also share different stories based on the artifacts and edifices that are being built in these places. Cebu is one of theses provinces which showcases different stories of its history.</p>
<p style=""text-align: justify;"">When I went to the southern tip of Cebu, I passed on one of its municipalities, Boljoon. I was amazed on how the church surpassed the changes of time and how it was able to stand the changes of the weather. The geographic location of the church contributed to the ambiance of the place. The church stood there facing the sea. It was such a great marvel and a wonderful place to be.</p>
<p style=""text-align: justify;"">When you visit the Philippines, do not forget to travel the different provinces and municipalities and discover Philippines' abundant history and culture. Enjoy!</p>",2012-08-09 15:05:28 UTC
Brasil: Fortaleza,"","<p>&nbsp;</p>
<p>&nbsp;</p>
<p class=""MsoNormal"" style=""margin-bottom: 0.0001pt; line-height: normal; text-align: justify;""><span lang=""EN"" style=""font-size: 12pt; font-family: 'Times New Roman','serif';"">Brazil is a destination of choice for many people, as one of the most desirable places to visit. However, most people never get to visit this beautiful country. It's a shame, because Brazil offers some of the most amazing places on earth and ends up being one of the dream trip for many people. You only need two things, to visit this country: take a vacation and some budget available, to visit all, and actually manage to get your deserved dream vacation! Fortaleza is a city in the state of Cear&aacute; in the north east of Brazil, this city is slowly becoming a tourist destination, favored by Europeans and Americans. People are attracted to Fortaleza throughout the year, because the temperatures there are perfect and the beaches are magnificent. Nightlife in Brazil is always known to be a unique experience, and Fortaleza is no different. In a stretch of three miles of beach called Beira Mar Avenue, you will find everything you might need to be able to enjoy to the fullest. You can have fun being on the street or in an outdoor cafe and still watching the endless parade of beautiful women walking on the streets.<br /><br /> Before the lights go out, one of the best thing is to enjoy the good weather that makes this region of Brazil great, and spend hours on the beach, sunbathing and enjoying what life has to offer, which is a good coconut water, sitting in the sun! If you have never drank coconut water, don&rsquo;t leave Brazil, without experiencing this drink.<br /><br /></span></p>
<p style=""text-align: justify;"">&nbsp;</p>
<p class=""MsoNormal"" style=""margin-bottom: 0.0001pt; line-height: normal; text-align: justify;""><span lang=""EN"" style=""font-size: 12pt; font-family: 'Times New Roman','serif';"">Enjoy, too, a good Brazilian barbecue, with rice, beans, manioc, many meats, caipirinha, you can&rsquo;t miss!<br /><br /></span></p>
<p style=""text-align: justify;"">&nbsp;</p>
<p class=""MsoNormal"" style=""margin-bottom: 0.0001pt; line-height: normal; text-align: justify;""><strong><span lang=""EN"" style=""font-size: 12pt; font-family: 'Times New Roman','serif';"">The bustle and nightlife in Fortaleza<br /><br /></span></strong></p>
<p style=""text-align: justify;"">&nbsp;</p>
<p class=""MsoNormal"" style=""margin-bottom: 0.0001pt; line-height: normal; text-align: justify;""><span lang=""EN"" style=""font-size: 12pt; font-family: 'Times New Roman','serif';"">When the lights go out in Fortaleza, the party begins and it lasts seven days a week. From Monday to Sunday, nothing to this town! With festivities throughout the week where you will find many tourists and locals enjoying themselves together and if you are going to visit this city, you will be part of all these people enjoying themselves, laughing and dancing together to the sound of a good samba and forr&oacute;!<br /><br /></span></p>
<p style=""text-align: justify;"">&nbsp;</p>
<p class=""MsoNormal"" style=""margin-bottom: 0.0001pt; line-height: normal; text-align: justify;""><span lang=""EN"" style=""font-size: 12pt; font-family: 'Times New Roman','serif';"">Whatever your personal tastes are, in terms of night life in Fortaleza, you can always be sure to find what you want in terms of nightlife. But not only this field gives Fortaleza popularity. For'll find plenty of daytime activities to be able to do, will still find good hotels, great restaurants with very good food, drinks even better and always refreshing to deal with hot temperatures, but always very nice and also a very friendly people, always hoping for you.<br /><br /></span></p>
<p style=""text-align: justify;"">&nbsp;</p>
<p class=""MsoNormal"" style=""margin-bottom: 0.0001pt; line-height: normal; text-align: justify;""><span lang=""EN"" style=""font-size: 12pt; font-family: 'Times New Roman','serif';"">Fortaleza is a big city with much to be able to do so, even if you're thinking visit this city, is better for you to stay more than 7 nights. Coming less then 7 nights, and you will not be able to visit everything in this city.</span></p>
<p style=""text-align: justify;"">&nbsp;</p>
<p class=""MsoNormal"" style=""text-align: justify;""><span lang=""EN-US"">&nbsp;</span></p>
<p>&nbsp;</p>",2012-08-06 21:43:56 UTC
Round Trip To Australia In 2 Days (Or How I Got Deported From There) ,"","<p>&nbsp;</p>
<p>Do you guys have any idea how far is Brazil from Australia. It&rsquo;s like the other side of the world. The quickest trip goes thru the South Pole. No, I couldn&rsquo;t seen any Coca-Cola polar bear from the plane. I think I saw an iceberg, but that was all.</p>
<p>About 4 months prepping for that. I&rsquo;ve managed to pay about 1,000 dollars for it. It was a Qantas promotion, so I bought it in advance, last november. So the only thing missing is a Visa. No problem so far. I already have an american visa, I&rsquo;ve have a canadian one, I&rsquo;m well traveled in south america and even been to Europe. I have my own company (two, actually) that supports me financially so I can travel without worrying about money. All good. I even bought a lot of aussie dollars from an ex-staff member from <a href=""http://www.limetimehostels.com/"" target=""_blank"" rel=""noopener"">LimeTime</a>, also got some American Dollars and even Euros that guests from the <a href=""http://www.limetimehostels.com/"" target=""_blank"" rel=""noopener"">hostel</a> ask to exchange.</p>
<p>A girl friend of mine dates another friend of mine that is from Australia (Hello, Jason and Roberta) recently went there and she told me they ask for a Yellow Fever Vaccination card. No where in the visa form this is mentioned. But anyway. I have been to Peru twice, and they also ask the same. I got my shot about 5 years ago, but I just don&rsquo;t remember where it was kept. So I decided to call the Australian Visa Central or whatever they call it, that ironically is located in CANADA, and I ask about it. They told me that yes, its a requirement, but if I didn&rsquo;t have it with me, they would ask me to sign a form saying I was responsible if something happened, yadda, yadda, yadda&hellip; Well, fine then&hellip;</p>
<p>Whomever follows me on Twitter or Facebook knows all about my preparation. All my friends dying to see such a good friend leaving for such a long time (just a freaking month).</p>
<p>Well, guess what? One of my hobbies is DJing! Yes, I mix dance music on night clubs so people can dance and have a good time, and so do I. I don&rsquo;t do it for the money, but only because I like doing it. I have no intention of becoming Calvin Harris and go around the world on tour. (Hope it happens, lol) But I wouldn&rsquo;t skip the chance of DJing in some parties in Oz. After all, most of the tunes I play comes from there (Hello, Bag Raiders).</p>
<p>So, one of my former guests at <a href=""http://www.limetimehostels.com/"" target=""_blank"" rel=""noopener"">LimeTime</a> just so happen to work for Modular People, the label for Bag Raiders, Van She, Muscles, and so on&hellip; And when there was a Smirnoff Night Life Exchange party here, he put me in contact with Tim Poulton, that works with him and is the booking agent for those bands. We become friends and he was looking for some parties for me to DJ. Not only him as all my friends there, since I have plenty that I&rsquo;ve met thru the <a href=""http://www.limetimehostels.com/"" target=""_blank"" rel=""noopener"">hostel</a>.</p>
<p>And since I have more than 1800 friends on Facebook and I dont know exactly where all of them are from, I decided to create and event and invite all my friends, and they had the option to confirm if they were in Oz so we could meet up. On the event I decided to write &ldquo;If you know any party promoters, help me by getting gigs. Im bringing my DJ stuff, and looking forward to party with you all! :)&rdquo; It took a while for anybody to confirm me on any gig, so I was already kinda hopeless. Some friends told me about other promoters, clubs, etc, when finally Tim sent me a message to confirm a gig. So we exhanged this messages on Facebook:</p>
<p>&ldquo;Hey mate,</p>
<p>&nbsp;First set I have for you is April 29th in Sydney, will that work for you?&rdquo;</p>
<p>To which I replied:</p>
<p>&ldquo;Sure&hellip; Im leaving Syd on may 4th, so ill be there. Whats the name of the place?&rdquo;</p>
<p><img src=""http://media.tumblr.com/tumblr_ljaaw7hU6y1qbtt4a.jpg"" alt="""" /></p>
<p>Notice that at any moment we mentioned money. For the same reason I mentioned above. I didn&rsquo;t wanna do this for the money. If by any chance they offered me anything, I would probably spend it all on booze at the same place. But that was never my intention. All I wanted to do was to mix some electro with some brazilian music that the crowd would like, get the aussie girls worked up, and luckily get out of there with someone! :P</p>
<p>Now the drama begins. The flight was alright, pretty long, but good. I decided to not take any of my equipment, not even my laptop I took with me. Only took my Hard Drive cause I was planning to buy the new Macbook Pro there. Tom (not Tim) has a BCD 3000, the same I used to use before, so that would be enough for me. Not even my big DJ headphones I took with me. Only my In Ears that I&rsquo;ve been using lately (Kudos to Laidback Luke).</p>
<p>So, going thru immigration, obviously they asked for the Yellow Fever Card. First Mistake. But I already knew what was going to happen. Or I thought so. I&rsquo;ve been sent to another person that asked me to wait there. He came back and asked if I had a cell phone with me, cause I couldn&rsquo;t keep it with me while there. So I gave him my iPhone. Suddenly the same guy comes back and asks me what I do for a living. I told him I have my own <a href=""http://www.limetimehostels.com/"" target=""_blank"" rel=""noopener"">hostel</a> in Sao paulo. He insists. I insist on the same answer. So he asks me what I was doing in Australia. Vacation, I say. He insists again, and asks if there was nothing else I was meant to do there. I told him no. ANd he says My facebook and twitter says otherwise. Boom&hellip; That&rsquo;s when I got in trouble.</p>
<p><img src=""http://media.tumblr.com/tumblr_ljabjfCQOI1qbtt4a.jpg"" alt="""" /></p>
<p><a href=""http://www.twitter.com/garfolino"" target=""_blank"" rel=""noopener"">@garfolino</a> Just got my first gig in Sydney! :)</p>
<p>Just after Tim mentioned the party, I posted that on my Twitter. The problem is that for me GIG is just a party to play. Apparently GIG is slang for WORK!</p>
<p>So they print this out along with this other tweet:</p>
<p><img src=""http://media.tumblr.com/tumblr_ljabovl2Q21qbtt4a.jpg"" alt="""" /></p>
<p><a href=""http://www.twitter.com/limetimehostels"" target=""_blank"" rel=""noopener"">@limetimehostels</a> Bebeto is off to Australia tomorrow! If you&rsquo;re there, join the event! Le Garfs Invades Australia!</p>
<p>There, now they are all freaked out.</p>
<p>So it starts a series of interviews and questioning about my intentions there. I told them I have no reason to be working there, that I have my own company that supports me very well financially, told them how much money I make, how much money I took with me (they counted it with me), showed them my credit cards, told them how many friends I have there, and all&hellip; I told them DJing is just a hobby, that I have no intention of making money out of that, I just wanted to have a good time with my friends.</p>
<p>Then it comes to the second biggest problem. They found Tim&rsquo;s number on my iPhone and called him. He didn&rsquo;t know what was going on, so he told them details about the party that even I wasn&rsquo;t aware of. He confirmed the gig, told them the venue and when they asked him if I was getting paid, he says Well, yes, we pay DJs 50 dollars per hour. That&rsquo;s when everything went to crap. But he even said he didn&rsquo;t know how he was going to pay me for that since I dont have an ABN. (I dont know what ABN is, im just assuming&hellip;) So, I couldn&rsquo;t receive that money. Ok, Its Australia, not Brazil, so everything must be done correctly.</p>
<p>I insisted that I have no idea he was planning to pay me for that. That I never talked to him about money. So they asked me for my Facebook password, which I promptly gave to them, but they couldn&rsquo;t access it since when you try to log on facebook from a different part of the world, they ask for a lot of confirmations, so it doesn&rsquo;t get hacked. If they needed my help for that, Id be more than happy to help.</p>
<p>So, no deal. They asked me to give a last statement telling them whey they should not cancel my visa and let me stay.</p>
<p>So I told them all again. I was there as a tourist, and just so happens I&rsquo;m a DJ, that yes I wanted to DJ in some parties with my friends, just as a hobby and for fun, and I have no intention to make money out of that, because I really didn&rsquo;t need to be travelling there. For me, it&rsquo;s just like bringing a guitar and play at the beach, is that work? No deal. They cancelled my visa. Apparently, DJ is a profession indeed in Australia (it&rsquo;s not in Brazil, yet) and to DJ at parties means work for them, even thou you&rsquo;re not getting paid for it. I even promised them that if that was the case, I wouldnt do it. In my mind all I was thinking was that if they let me in, I wouldnt get anywhere close to a DJ booth. Again, no way, Jose.&nbsp;</p>
<p><img src=""http://media.tumblr.com/tumblr_ljac7gZALB1qbtt4a.jpg"" alt="""" /></p>
<p>Well, the airport was about to close and the only flight back to Brazil was on the next morning. I&rsquo;ve managed to get out of the airport, scorted, of course, to an Immigration Detention Center. I forgot to mention that I lost my jacket on the boarding gate in Buenos Aires. So for me not be cold, they even gave me another hoodie to keep. I was never treated badly by any of them. Only when they gave me frozen chicken, that I obviously didn&rsquo;t eat, so I was hungry until the next morning when we went back to the airport.</p>
<p>So that&rsquo;s me, Brazilian, DJ, <a href=""http://www.limetimehostels.com/"" target=""_blank"" rel=""noopener"">Hostel</a> owner, detained (not arrested), in the middle of a bunch of chinese people and people from other places that were obviously there trying to get illegal jobs, just waiting to be sent back to my country. Good thing is that I got my own room, so I just laid down and slept.</p>
<p>6 am they knock on my door and wake me up. I got release from that area, and they took me back to the airport. The whole time I was hoping somebody would come and say that it was all a huge misunderstanding and overrated, and would apologize and let me in. Silly me. I got locked up a bit more there, until they put me into my flight. But at least, they were nice enough to go to McDonalds for me and buy me some food. At that point I was starving.</p>
<p>Well, here I am, back in Brazil. And I&rsquo;ve learned a few lessons. Set your Twitter account to PRIVATE. If it wasn&rsquo;t for that, they wouldn&rsquo;t know anything. And always take all your documents when travelling. If I had tried harder I possibly would have found my yellow fever card. I bet if I look for it now I can find in less than 30 minutes. And third. DJ is a profession in Australia. Always deny that you can mix music together.</p>
<p>On the good side I didn&rsquo;t spend any money in Australia, so I bought a new Nintendo Wii with Mario Kart for the <a href=""http://www.limetimehostels.com/"" target=""_blank"" rel=""noopener"">hostel</a> at the Free Shop in Argentina.</p>",2012-08-03 03:06:16 UTC
